,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,Artist
67,414.6,204.6,403.8,21651.5,409.2,21856.2,199.2,420.0,210.0,21845.4,430.8,398.5,21656.9,188.5,619.2,393.1,21430.8,624.6,21678.5,376.9,366.2,21689.2,382.3,21861.5,193.8,436.2,21840.0,215.4,387.7,21667.7,21420.0,635.4,630.0,446.9,177.7,1631.5,1663.8,1647.7,613.8,441.5,21468.5,586.9,1626.2,21463.1,592.3,371.5,21683.8,581.5,355.4,570.8,20413.1,1642.3,1653.1,20402.3,1669.2,565.4,1421.5,226.2,20628.5,1426.9,20418.5,1636.9,603.1,560.0,21495.4,452.3,1432.3,4
10,113.1,220.8,21807.7,247.7,204.6,107.7,21947.7,21953.1,102.3,96.9,21958.5,123.8,118.5,210.0,3995.4,436.2,21775.4,280.0,339.2,376.9,441.5,328.5,3952.3,18103.1,4065.4,3747.7,21721.5,333.8,3963.1,4081.5,236.9,3920.0,4560.8,17494.6,166.9,21888.5,199.2,17672.3,4383.1,371.5,91.5,21963.8,323.1,18086.9,3968.5,4016.9,18038.5,446.9,21608.5,21829.2,226.2,17693.8,4361.5,18006.2,4049.2,3817.7,21500.8,554.6,4038.5,18016.9,3828.5,18226.9,4000.8,4130.0,3866.2,3936.2,18119.2,1
141,656.9,613.8,21441.5,301.5,592.3,646.2,21409.2,21560.0,495.4,640.8,586.9,21468.5,630.0,21425.4,603.1,490.0,21764.6,290.8,619.2,312.3,263.8,608.5,651.5,21403.8,328.5,748.5,21457.7,597.7,662.3,21393.1,333.8,274.6,635.4,21420.0,21770.0,285.4,441.5,269.2,985.4,667.7,21387.7,624.6,980.0,21075.4,21285.4,770.0,484.6,990.8,21064.6,683.8,2956.2,19099.2,21775.4,280.0,570.8,506.2,516.9,1776.9,926.2,446.9,1631.5,743.1,20445.4,1610.0,436.2,775.4,522.3,8
90,21883.1,172.3,861.5,215.4,166.9,21888.5,2606.2,19449.2,21899.2,156.2,2595.4,269.2,19476.2,2579.2,177.7,866.9,2552.3,2643.8,646.2,21872.3,183.1,3300.8,3941.5,2703.1,113.1,21893.8,161.5,3860.8,20768.5,1286.9,1276.2,360.8,188.5,2590.0,3930.8,18124.6,3225.4,506.2,495.4,21560.0,1297.7,3790.8,3311.5,3801.5,21850.8,204.6,21576.2,479.2,2627.7,3796.2,18259.2,19470.8,2584.6,3898.5,18156.9,263.8,21791.5,2536.2,19519.2,3726.2,18329.2,2563.1,210.0,490.0,21565.4,18873.1,3182.3,6
70,236.9,231.5,468.5,226.2,21813.1,242.3,463.1,21123.8,931.5,619.2,21436.2,624.6,21581.5,473.8,936.9,247.7,220.8,21355.4,700.0,457.7,694.6,613.8,393.1,21856.2,199.2,780.8,193.8,21861.5,479.2,312.3,253.1,280.0,21775.4,947.7,296.2,21759.2,1636.9,21113.1,942.3,1631.5,20423.8,484.6,21613.8,441.5,21764.6,290.8,430.8,21624.6,21603.1,452.3,490.0,21565.4,21840.0,215.4,258.5,21796.9,1626.2,20429.2,285.4,306.9,188.5,436.2,689.2,2557.7,705.4,156.2,425.4,4
118,166.9,150.8,172.3,21899.2,156.2,183.1,161.5,21980.0,21877.7,177.7,113.1,86.2,333.8,21721.5,199.2,129.2,91.5,134.6,21920.8,21936.9,118.5,123.8,188.5,21866.9,339.2,96.9,306.9,80.8,215.4,193.8,21990.8,226.2,446.9,204.6,145.4,500.8,506.2,220.8,210.0,21845.4,452.3,328.5,280.0,21737.7,317.7,236.9,21953.1,102.3,253.1,21802.3,21823.8,231.5,344.6,290.8,21560.0,495.4,21732.3,323.1,21371.5,683.8,285.4,21376.9,678.5,107.7,80.8,80.8,80.8,7
40,242.3,484.6,21570.8,236.9,21818.5,21576.2,479.2,220.8,204.6,21850.8,199.2,21807.7,247.7,215.4,21565.4,490.0,210.0,21861.5,193.8,188.5,183.1,226.2,1938.5,850.8,21204.6,231.5,1943.8,726.9,861.5,21210.0,845.4,436.2,646.2,3640.0,118.5,21662.3,393.1,1680.0,387.7,1933.1,21678.5,376.9,732.3,382.3,21673.1,398.5,463.1,21592.3,1513.1,721.5,21613.8,441.5,3629.2,18426.2,468.5,2907.7,1507.7,856.2,3618.5,18436.9,371.5,3645.4,640.8,430.8,2913.1,177.7,118.5,3
78,231.5,21818.5,236.9,220.8,226.2,21947.7,107.7,113.1,21813.1,242.3,21980.0,123.8,21899.2,156.2,215.4,446.9,150.8,118.5,96.9,21915.4,140.0,21974.6,80.8,161.5,468.5,21845.4,210.0,102.3,473.8,21581.5,177.7,21877.7,21603.1,452.3,441.5,479.2,21576.2,91.5,134.6,21920.8,172.3,204.6,21926.2,129.2,193.8,21861.5,457.7,710.8,22006.9,145.4,430.8,705.4,904.6,21150.8,199.2,188.5,899.2,947.7,183.1,21371.5,683.8,3074.6,21786.2,269.2,80.8,80.8,80.8,5
124,172.3,527.7,21969.2,86.2,161.5,533.1,177.7,522.3,21533.1,183.1,21366.2,689.2,21344.6,710.8,21350.0,705.4,21899.2,156.2,538.5,355.4,21700.0,511.5,21543.8,350.0,678.5,21538.5,516.9,21355.4,700.0,21339.2,716.2,21861.5,193.8,166.9,21409.2,646.2,651.5,543.8,21974.6,80.8,656.9,188.5,21866.9,500.8,21371.5,683.8,640.8,21414.6,1432.3,1416.2,694.6,866.9,21963.8,91.5,635.4,21420.0,877.7,721.5,21333.8,490.0,21565.4,673.1,21393.1,662.3,888.5,630.0,145.4,7
50,231.5,21823.8,21829.2,226.2,21834.6,220.8,920.8,21818.5,236.9,21597.7,457.7,463.1,21592.3,689.2,21123.8,931.5,210.0,441.5,452.3,21603.1,215.4,446.9,694.6,3677.7,20903.1,1152.3,242.3,21813.1,3693.8,18361.5,21107.7,947.7,204.6,21581.5,473.8,3699.2,21118.5,936.9,21129.2,926.2,468.5,21586.9,1141.5,21166.9,888.5,910.0,3704.6,479.2,904.6,3925.4,430.8,21624.6,953.1,199.2,18146.2,3909.2,3004.6,2983.1,19072.3,263.8,18388.5,3666.9,883.1,258.5,269.2,3898.5,710.8,3
